title,director,actors,year,genre
Casper,Brad Silberling,"['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty', 'Eric Idle', 'Joe Nipote']",1995,['Fantasy']
The Equalizer,Antoine Fuqua,"['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz', 'David Harbour', 'Haley Bennett']",2014,['Thriller']
Maid in Manhattan,Wayne Wang,"['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson', 'Stanley Tucci', 'Tyler Posey']",2002,['Comedy']
Crimson Tide,Tony Scott,"['Denzel Washington', 'Gene Hackman', 'Matt Craven', 'George Dzundza', 'Viggo Mortensen']",1995,['Action']
The Pursuit of Happyness,Gabriele Muccino,"['Will Smith', 'Jaden Smith', 'Thandie Newton', 'Brian Howe', 'James Karen']",2006,['Drama']
Flightplan,Robert Schwentke,"['Jodie Foster', 'Peter Sarsgaard', 'Sean Bean', 'Kate Beahan', 'Michael Irby']",2005,['Thriller']
Disclosure,Barry Levinson,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland', 'Dylan Baker', 'Jacqueline Kim']",1994,['Drama']
City of Angels,Brad Silberling,"['Nicolas Cage', 'Meg Ryan', 'Andre Braugher', 'Dennis Franz', 'Colm Feore']",1998,['Drama']
Kill Bill: Vol. 1,Quentin Tarantino,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine']",2003,['Action']
Bowfinger,Frank Oz,"['Steve Martin', 'Eddie Murphy', 'Heather Graham', 'Christine Baranski', 'Jamie Kennedy']",1999,['Comedy']
Kill Bill: Vol. 2,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen', 'Gordon Liu Chia-Hui']",2004,['Action']
Tango & Cash,Andrei Konchalovsky,"['Sylvester Stallone', 'Kurt Russell', 'Teri Hatcher', 'Jack Palance', 'Brion James']",1989,['Action']
Death Becomes Her,Robert Zemeckis,"['Meryl Streep', 'Bruce Willis', 'Goldie Hawn', 'Isabella Rossellini', 'Ian Ogilvy']",1992,['Fantasy']
Shanghai Noon,Tom Dey,"['Jackie Chan', 'Owen Wilson', 'Lucy Liu', 'Xander Berkeley', 'Roger Yuan']",2000,['Adventure']
Executive Decision,Stuart Baird,"['Kurt Russell', 'Steven Seagal', 'Halle Berry', 'John Leguizamo', 'Oliver Platt']",1996,['Action']
Mr. Popper's Penguins,Mark Waters,"['Jim Carrey', 'Carla Gugino', 'Madeline Carroll', 'Angela Lansbury', 'Ophelia Lovibond']",2011,['Comedy']
The Forbidden Kingdom,Rob Minkoff,"['Jackie Chan', 'Jet Li', 'Michael Angarano', 'Liu Yifei', 'Li Bingbing']",2008,['Action']
Free Birds,Jimmy Hayward,"['Owen Wilson', 'Woody Harrelson', 'Amy Poehler', 'George Takei', 'Colm Meaney']",2013,['Animation']
Alien³,David Fincher,"['Sigourney Weaver', 'Charles S. Dutton', 'Charles Dance', 'Pete Postlethwaite', 'Ralph Brown']",1992,['Science Fiction']
Evita,Alan Parker,"['Madonna', 'Antonio Banderas', 'Jonathan Pryce', 'Jimmy Nail', 'Victoria Sus']",1996,['History']
Ronin,John Frankenheimer,"['Robert De Niro', 'Jean Reno', 'Natascha McElhone', 'Stellan Skarsgård', 'Sean Bean']",1998,['Action']
The Ghost and the Darkness,Stephen Hopkins,"['Michael Douglas', 'Val Kilmer', 'Tom Wilkinson', 'John Kani', 'Emily Mortimer']",1996,['Adventure']
Paddington,Paul King,"['Nicole Kidman', 'Peter Capaldi', 'Ben Whishaw', 'Michael Gambon', 'Imelda Staunton']",2014,['Family']
The Watch,Akiva Schaffer,"['Ben Stiller', 'Vince Vaughn', 'Jonah Hill', 'Richard Ayoade', 'Rosemarie DeWitt']",2012,['Comedy']
The Hunted,William Friedkin,"['Tommy Lee Jones', 'Benicio del Toro', 'Connie Nielsen', 'Leslie Stefanson', 'John Finn']",2003,['Drama']
Instinct,Jon Turteltaub,"['Anthony Hopkins', 'Cuba Gooding Jr.', 'Donald Sutherland', 'Maura Tierney', 'George Dzundza']",1999,['Drama']
Stuck on You,Bobby Farrelly,"['Matt Damon', 'Greg Kinnear', 'Eva Mendes', 'Wen Yann Shih', 'Seymour Cassel']",2003,['Comedy']
Semi-Pro,Kent Alterman,"['Will Ferrell', 'Maura Tierney', 'Woody Harrelson', 'David Koechner', 'Will Arnett']",2008,['Comedy']
The Pirates! In an Adventure with Scientists!,Peter Lord,"['Hugh Grant', 'Brendan Gleeson', 'Jeremy Piven', 'Brian Blessed', 'Salma Hayek']",2012,['Animation']
Changeling,Clint Eastwood,"['Angelina Jolie', 'Jeffrey Donovan', 'John Malkovich', 'Geoff Pierson', 'Amy Ryan']",2008,['Crime']
Chain Reaction,Andrew Davis,"['Keanu Reeves', 'Morgan Freeman', 'Rachel Weisz', 'Fred Ward', 'Kevin Dunn']",1996,['Action']
The Fan,Tony Scott,"['Robert De Niro', 'Wesley Snipes', 'Ellen Barkin', 'John Leguizamo', 'Benicio del Toro']",1996,['Drama']
The Phantom of the Opera,Joel Schumacher,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson', 'Minnie Driver']",2004,['Thriller']
Elizabeth: The Golden Age,Shekhar Kapur,"['Cate Blanchett', 'Clive Owen', 'Geoffrey Rush', 'Laurence Fox', 'Tom Hollander']",2007,['Drama']
Æon Flux,Karyn Kusama,"['Charlize Theron', 'Marton Csokas', 'Jonny Lee Miller', 'Sophie Okonedo', 'Frances McDormand']",2005,['Action']
Gods and Generals,Ronald F. Maxwell,"['Stephen Lang', 'Jeff Daniels', 'Robert Duvall', 'Kevin Conway', 'C. Thomas Howell']",2003,['Drama']
Turbulence,Robert Butler,"['Ray Liotta', 'Lauren Holly', 'Brendan Gleeson', 'Héctor Elizondo', 'Rachel Ticotin']",1997,['Action']
Imagine That,Karey Kirkpatrick,"['Eddie Murphy', 'Thomas Haden Church', 'Yara Shahidi', 'Ronny Cox', 'Stephen Rannazzisi']",2009,['Comedy']
Muppets Most Wanted,James Bobin,"['Ricky Gervais', 'Ty Burrell', 'Tina Fey', 'Steve Whitmire', 'Eric Jacobson']",2014,['Comedy']
Thunderbirds,Jonathan Frakes,"['Brady Corbet', 'Soren Fulton', 'Debora Weston', 'Lou Hirsch', 'Alex Barringer']",2004,['Action']
Burlesque,Steve Antin,"['Cher', 'Christina Aguilera', 'Eric Dane', 'Cam Gigandet', 'Julianne Hough']",2010,['Drama']
A Very Long Engagement,Jean-Pierre Jeunet,"['Audrey Tautou', 'Gaspard Ulliel', 'Dominique Pinon', 'Chantal Neuwirth', 'André Dussollier']",2004,['Drama']
Lolita,Stanley Kubrick,"['James Mason', 'Sue Lyon', 'Shelley Winters', 'Peter Sellers', 'Lois Maxwell']",1962,['Drama']
D-Tox,Jim Gillespie,"['Sylvester Stallone', 'Courtney B. Vance', 'Tom Berenger', 'Charles S. Dutton', 'Jeffrey Wright']",2002,['Action']
Blade II,Guillermo del Toro,"['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela', 'Norman Reedus']",2002,['Fantasy']
Seven Pounds,Gabriele Muccino,"['Will Smith', 'Rosario Dawson', 'Sarah Jane Morris', 'Woody Harrelson', 'Michael Ealy']",2008,['Drama']
Bullet to the Head,Walter Hill,"['Sylvester Stallone', 'Sung Kang', 'Sarah Shahi', 'Adewale Akinnuoye-Agbaje', 'Jason Momoa']",2013,['Action']
The Godfather: Part III,Francis Ford Coppola,"['Al Pacino', 'Diane Keaton', 'Andy García', 'Talia Shire', 'Sofia Coppola']",1990,['Crime']
Elizabethtown,Cameron Crowe,"['Orlando Bloom', 'Kirsten Dunst', 'Susan Sarandon', 'Alec Baldwin', 'Bruce McGill']",2005,['Comedy']
"You, Me and Dupree",Anthony Russo,"['Kate Hudson', 'Owen Wilson', 'Matt Dillon', 'Michael Douglas', 'Seth Rogen']",2006,['Comedy']
Superman II,Richard Lester,"['Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas']",1980,['Action']
Gigli,Martin Brest,"['Ben Affleck', 'Jennifer Lopez', 'Justin Bartha', 'Lainie Kazan', 'Lenny Venito']",2003,['Drama']
All the King's Men,Steven Zaillian,"['Sean Penn', 'Jude Law', 'Kate Winslet', 'James Gandolfini', 'Patricia Clarkson']",2006,['Drama']
Shaft,John Singleton,"['Samuel L. Jackson', 'Jeffrey Wright', 'Christian Bale', 'Busta Rhymes', 'Dan Hedaya']",2000,['Action']
Anastasia,Gary Goldman,"['Meg Ryan', 'John Cusack', 'Christopher Lloyd', 'Angela Lansbury', 'Hank Azaria']",1997,['Animation']
Moulin Rouge!,Baz Luhrmann,"['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo', 'Jim Broadbent', 'Richard Roxburgh']",2001,['Drama']
Domestic Disturbance,Harold Becker,"['John Travolta', 'Vince Vaughn', 'Teri Polo', ""Matt O'Leary"", 'Steve Buscemi']",2001,['Mystery']
Black Mass,Scott Cooper,"['Johnny Depp', 'Joel Edgerton', 'Benedict Cumberbatch', 'Dakota Johnson', 'Kevin Bacon']",2015,['Crime']
Flags of Our Fathers,Clint Eastwood,"['Ryan Phillippe', 'Adam Beach', 'Jesse Bradford', 'John Benjamin Hickey', 'John Slattery']",2006,['War']
Law Abiding Citizen,F. Gary Gray,"['Jamie Foxx', 'Gerard Butler', 'Colm Meaney', 'Bruce McGill', 'Leslie Bibb']",2009,['Drama']
Grindhouse,Robert Rodriguez,"['Kurt Russell', 'Zoë Bell', 'Rosario Dawson', 'Vanessa Ferlito', 'Sydney Tamiia Poitier']",2007,['Thriller']
Beloved,Jonathan Demme,"['Oprah Winfrey', 'Danny Glover', 'Thandie Newton', 'Lisa Gay Hamilton', 'Albert Hall']",1998,['Drama']
Lucky You,Curtis Hanson,"['Eric Bana', 'Drew Barrymore', 'Robert Duvall', 'Debra Messing', 'Robert Downey Jr.']",2007,['Drama']
Catch Me If You Can,Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye']",2002,['Drama']
Zero Dark Thirty,Kathryn Bigelow,"['Jessica Chastain', 'Jason Clarke', 'Mark Strong', 'Joel Edgerton', 'Chris Pratt']",2012,['Thriller']
The Break-Up,Peyton Reed,"['Vince Vaughn', 'Jennifer Aniston', 'Joey Lauren Adams', 'Cole Hauser', 'Jon Favreau']",2006,['Romance']
Mamma Mia!,Phyllida Lloyd,"['Meryl Streep', 'Pierce Brosnan', 'Amanda Seyfried', 'Colin Firth', 'Stellan Skarsgård']",2008,['Comedy']
Valentine's Day,Garry Marshall,"['Jessica Alba', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey']",2010,['Comedy']
The Dukes of Hazzard,Jay Chandrasekhar,"['Johnny Knoxville', 'Seann William Scott', 'Jessica Simpson', 'Willie Nelson', 'Burt Reynolds']",2005,['Action']
The Thin Red Line,Terrence Malick,"['Sean Penn', 'Adrien Brody', 'Jim Caviezel', 'Ben Chaplin', 'George Clooney']",1998,['Drama']
The Change-Up,David Dobkin,"['Olivia Wilde', 'Ryan Reynolds', 'Jason Bateman', 'Leslie Mann', 'Mircea Monroe']",2011,['Comedy']
Man on the Moon,Miloš Forman,"['Jim Carrey', 'Courtney Love', 'Bob Zmuda', 'Danny DeVito', 'Gerry Becker']",1999,['Comedy']
Casino,Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']",1995,['Drama']
From Paris with Love,Pierre Morel,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden', 'Bing Yin']",2010,['Action']
Bulletproof Monk,Paul Hunter,"['Seann William Scott', 'Jaime King', 'Karel Roden', 'Chow Yun-fat', 'K. C. Collins']",2003,['Action']
"Me, Myself & Irene",Bobby Farrelly,"['Jim Carrey', 'Renée Zellweger', 'Anthony Anderson', 'Robert Forster', 'Richard Jenkins']",2000,['Comedy']
Barnyard,Steve Oedekerk,"['Courteney Cox', 'Kevin James', 'Sam Elliott', 'Danny Glover', 'Wanda Sykes']",2006,['Animation']
Deck the Halls,John Whitesell,"['Danny DeVito', 'Matthew Broderick', 'Kristin Davis', 'Kristin Chenoweth', 'Fred Armisen']",2006,['Comedy']
The Twilight Saga: New Moon,Chris Weitz,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Ashley Greene']",2009,['Adventure']
Shrek,Andrew Adamson,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow', 'Vincent Cassel']",2001,['Adventure']
The Adjustment Bureau,George Nolfi,"['Matt Damon', 'Emily Blunt', 'John Slattery', 'Anthony Mackie', 'Lauren Hodges']",2011,['Science Fiction']
Robin Hood: Prince of Thieves,Kevin Reynolds,"['Kevin Costner', 'Morgan Freeman', 'Christian Slater', 'Mary Elizabeth Mastrantonio', 'Alan Rickman']",1991,['Adventure']
Jerry Maguire,Cameron Crowe,"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger', 'Kelly Preston', 'Alison Armitage']",1996,['Comedy']
Ted,Seth MacFarlane,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane', 'Joel McHale', 'Giovanni Ribisi']",2012,['Comedy']
As Good as It Gets,James L. Brooks,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear', 'Cuba Gooding Jr.', 'Skeet Ulrich']",1997,['Comedy']
Patch Adams,Tom Shadyac,"['Robin Williams', 'Philip Seymour Hoffman', 'Bob Gunton', 'Peter Coyote', 'Michael Jeter']",1998,['Comedy']
Anchorman 2: The Legend Continues,Adam McKay,"['Will Ferrell', 'Steve Carell', 'Paul Rudd', 'Christina Applegate', 'David Koechner']",2013,['Comedy']
Mr. Deeds,Steven Brill,"['Adam Sandler', 'Winona Ryder', 'John Turturro', 'Allen Covert', 'Peter Gallagher']",2002,['Comedy']
Super 8,J.J. Abrams,"['Joel Courtney', 'Elle Fanning', 'Riley Griffiths', 'Kyle Chandler', 'Ryan Lee']",2011,['Thriller']
Erin Brockovich,Steven Soderbergh,"['Julia Roberts', 'Albert Finney', 'Aaron Eckhart', 'Marg Helgenberger', 'Cherry Jones']",2000,['Drama']
How to Lose a Guy in 10 Days,Donald Petrie,"['Kate Hudson', 'Matthew McConaughey', 'Kathryn Hahn', 'Annie Parisse', 'Adam Goldberg']",2003,['Comedy']
22 Jump Street,Phil Lord,"['Jonah Hill', 'Channing Tatum', 'Dave Franco', 'Ice Cube', 'Nick Offerman']",2014,['Crime']
Interview with the Vampire,Neil Jordan,"['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst', 'Antonio Banderas', 'Christian Slater']",1994,['Horror']
Yes Man,Peyton Reed,"['Jim Carrey', 'Zooey Deschanel', 'Rhys Darby', 'Sasha Alexander', 'Fionnula Flanagan']",2008,['Comedy']
Central Intelligence,Rawson Marshall Thurber,"['Dwayne Johnson', 'Kevin Hart', 'Amy Ryan', 'Aaron Paul', 'Danielle Nicolet']",2016,['Action']
Stepmom,Chris Columbus,"['Julia Roberts', 'Susan Sarandon', 'Ed Harris', 'Jena Malone', 'Liam Aiken']",1998,['Drama']
Daddy's Home,Sean Anders,"['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini', 'Thomas Haden Church', 'Scarlett Estevez']",2015,['Comedy']
Into the Woods,Rob Marshall,"['Meryl Streep', 'Emily Blunt', 'James Corden', 'Anna Kendrick', 'Chris Pine']",2014,['Fantasy']
Inside Man,Spike Lee,"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer', 'Willem Dafoe']",2006,['Crime']
Payback,Brian Helgeland,"['Mel Gibson', 'Kris Kristofferson', 'Gregg Henry', 'Maria Bello', 'David Paymer']",1999,['Drama']
Congo,Frank Marshall,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson', 'Tim Curry', 'Grant Heslov']",1995,['Action']
We Bought a Zoo,Cameron Crowe,"['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church', 'Colin Ford', 'Maggie Elizabeth Jones']",2011,['Drama']
Knowing,Alex Proyas,"['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury', 'Ben Mendelsohn', 'Nadia Townsend']",2009,['Action']
Failure to Launch,Tom Dey,"['Matthew McConaughey', 'Sarah Jessica Parker', 'Zooey Deschanel', 'Justin Bartha', 'Bradley Cooper']",2006,['Comedy']
The Ring Two,Hideo Nakata,"['Naomi Watts', 'Simon Baker', 'Elizabeth Perkins', 'David Dorfman', 'Gary Cole']",2005,['Drama']
"Crazy, Stupid, Love.",Glenn Ficarra,"['Steve Carell', 'Julianne Moore', 'Ryan Gosling', 'Emma Stone', 'Marisa Tomei']",2011,['Comedy']
Garfield,Peter Hewitt,"['Bill Murray', 'Breckin Meyer', 'Jennifer Love Hewitt', 'Stephen Tobolowsky', 'Evan Arnold']",2004,['Animation']
Christmas with the Kranks,Joe Roth,"['Tim Allen', 'Jamie Lee Curtis', 'Dan Aykroyd', 'M. Emmet Walsh', 'Elizabeth Franz']",2004,['Comedy']
Moneyball,Bennett Miller,"['Brad Pitt', 'Jonah Hill', 'Philip Seymour Hoffman', 'Robin Wright', 'Chris Pratt']",2011,['Drama']
Outbreak,Wolfgang Petersen,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman', 'Kevin Spacey', 'Cuba Gooding Jr.']",1995,['Action']
Non-Stop,Jaume Collet-Serra,"['Liam Neeson', 'Julianne Moore', 'Scoot McNairy', 'Michelle Dockery', 'Nate Parker']",2014,['Action']
Race to Witch Mountain,Andy Fickman,"['Dwayne Johnson', 'AnnaSophia Robb', 'Alexander Ludwig', 'Carla Gugino', 'Chris Marquette']",2009,['Adventure']
V for Vendetta,James McTeigue,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea', 'Stephen Fry', 'John Hurt']",2006,['Action']
Shanghai Knights,David Dobkin,"['Jackie Chan', 'Owen Wilson', 'Fann Wong', 'Aaron Taylor-Johnson', 'Aidan Gillen']",2003,['Action']
Curious George,Matthew O'Callaghan,"['Will Ferrell', 'Drew Barrymore', 'David Cross', 'Eugene Levy', 'Dick Van Dyke']",2006,['Adventure']
Herbie Fully Loaded,Angela Robinson,"['Lindsay Lohan', 'Michael Keaton', 'Matt Dillon', 'Breckin Meyer', 'Justin Long']",2005,['Comedy']
Don't Say a Word,Gary Fleder,"['Michael Douglas', 'Sean Bean', 'Brittany Murphy', 'Skye McCole Bartusiak', 'Guy Torry']",2001,['Thriller']
Hansel & Gretel: Witch Hunters,Tommy Wirkola,"['Jeremy Renner', 'Gemma Arterton', 'Famke Janssen', 'Pihla Viitala', 'Derek Mears']",2013,['Fantasy']
Unfaithful,Adrian Lyne,"['Richard Gere', 'Diane Lane', 'Olivier Martinez', 'Erik Per Sullivan', 'Zeljko Ivanek']",2002,['Thriller']
I Am Number Four,D.J. Caruso,"['Alex Pettyfer', 'Timothy Olyphant', 'Teresa Palmer', 'Dianna Agron', 'Callan McAuliffe']",2011,['Action']
Syriana,Stephen Gaghan,"['George Clooney', 'Matt Damon', 'Jeffrey Wright', 'Chris Cooper', 'Amanda Peet']",2005,['Drama']
13 Hours: The Secret Soldiers of Benghazi,Michael Bay,"['James Badge Dale', 'John Krasinski', 'Max Martini', 'Pablo Schreiber', 'Toby Stephens']",2016,['Action']
The Book of Life,Jorge R. Gutierrez,"['Diego Luna', 'Channing Tatum', 'Zoe Saldana', 'Christina Applegate', 'Eugenio Derbez']",2014,['Romance']
Firewall,Richard Loncraine,"['Harrison Ford', 'Paul Bettany', 'Virginia Madsen', 'Carly Schroeder', 'Jimmy Bennett']",2006,['Thriller']
Absolute Power,Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Ed Harris', 'Scott Glenn', 'Laura Linney']",1997,['Crime']
G.I. Jane,Ridley Scott,"['Demi Moore', 'Viggo Mortensen', 'Anne Bancroft', 'Jason Beghe', 'Daniel von Bargen']",1997,['Action']
The Game,David Fincher,"['Michael Douglas', 'Sean Penn', 'Deborah Kara Unger', 'James Rebhorn', 'Spike Jonze']",1997,['Drama']
Silent Hill,Christophe Gans,"['Radha Mitchell', 'Sean Bean', 'Laurie Holden', 'Deborah Kara Unger', 'Kim Coates']",2006,['Horror']
The Replacements,Howard Deutch,"['Keanu Reeves', 'Gene Hackman', 'Brooke Langton', 'Orlando Jones', 'Faizon Love']",2000,['Comedy']
American Reunion,Jon Hurwitz,"['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott', 'Chris Klein', 'Thomas Ian Nicholas']",2012,['Comedy']
The Negotiator,F. Gary Gray,"['Samuel L. Jackson', 'Kevin Spacey', 'David Morse', 'Ron Rifkin', 'John Spencer']",1998,['Action']
Into the Storm,Steven Quale,"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh', 'Nathan Kress', 'Alycia Debnam-Carey']",2014,['Action']
Beverly Hills Cop III,John Landis,"['Eddie Murphy', 'Judge Reinhold', 'Héctor Elizondo', 'Gilbert R. Hill', 'Timothy Carhart']",1994,['Action']
Gremlins 2: The New Batch,Joe Dante,"['Zach Galligan', 'Phoebe Cates', 'John Glover', 'Robert Prosky', 'Robert Picardo']",1990,['Comedy']
The Judge,David Dobkin,"['Robert Duvall', 'Robert Downey Jr.', 'Vera Farmiga', ""Vincent D'Onofrio"", 'Jeremy Strong']",2014,['Drama']
The Peacemaker,Mimi Leder,"['George Clooney', 'Nicole Kidman', 'Marcel Iureș', 'Goran Visnjic', 'Armin Mueller-Stahl']",1997,['Action']
Resident Evil: Apocalypse,Alexander Witt,"['Milla Jovovich', 'Sienna Guillory', 'Oded Fehr', 'Thomas Kretschmann', 'Sophie Vavasseur']",2004,['Horror']
Bridget Jones: The Edge of Reason,Beeban Kidron,"['Renée Zellweger', 'Hugh Grant', 'Colin Firth', 'Jim Broadbent', 'Gemma Jones']",2004,['Comedy']
Out of Time,Carl Franklin,"['Denzel Washington', 'Eva Mendes', 'Sanaa Lathan', 'John Billingsley', 'Dean Cain']",2003,['Thriller']
On Deadly Ground,Steven Seagal,"['Steven Seagal', 'Michael Caine', 'Joan Chen', 'John C. McGinley', 'R. Lee Ermey']",1994,['Action']
The Adventures of Sharkboy and Lavagirl,Robert Rodriguez,"['Taylor Lautner', 'Taylor Dooley', 'Cayden Boyd', 'David Arquette', 'Kristin Davis']",2005,['Adventure']
The Beach,Danny Boyle,"['Leonardo DiCaprio', 'Guillaume Canet', 'Tilda Swinton', 'Virginie Ledoyen', 'Staffan Kihlbom']",2000,['Drama']
Raising Helen,Garry Marshall,"['Kate Hudson', 'John Corbett', 'Joan Cusack', 'Hayden Panettiere', 'Spencer Breslin']",2004,['Drama']
Ninja Assassin,James McTeigue,"['Rain', 'Naomie Harris', 'Sung Kang', 'Randall Duk Kim', 'Rick Yune']",2009,['Action']
For Love of the Game,Sam Raimi,"['Kevin Costner', 'Kelly Preston', 'John C. Reilly', 'Jena Malone', 'J.K. Simmons']",1999,['Drama']
Striptease,Andrew Bergman,"['Demi Moore', 'Burt Reynolds', 'Armand Assante', 'Ving Rhames', 'Robert Patrick']",1996,['Drama']
Marmaduke,Tom Dey,"['Owen Wilson', 'Emma Stone', 'George Lopez', 'Christopher Mintz-Plasse', 'Steve Coogan']",2010,['Family']
Hereafter,Clint Eastwood,"['Matt Damon', 'Bryce Dallas Howard', 'George McLaren', 'Thierry Neuvic', 'Cyndi Mayo Davis']",2010,['Drama']
Murder by Numbers,Barbet Schroeder,"['Sandra Bullock', 'Ben Chaplin', 'Ryan Gosling', 'Michael Pitt', 'Agnes Bruckner']",2002,['Crime']
Assassins,Richard Donner,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",1995,['Action']
Hannibal Rising,Peter Webber,"['Gaspard Ulliel', 'Aaran Thomas', 'Gong Li', 'Dominic West', 'Rhys Ifans']",2007,['Crime']
The Story of Us,Rob Reiner,"['Bruce Willis', 'Michelle Pfeiffer', 'Rob Reiner', 'Colleen Rennison', 'Jake Sandvig']",1999,['Comedy']
The Host,Andrew Niccol,"['Saoirse Ronan', 'Diane Kruger', 'Jake Abel', 'William Hurt', 'Frances Fisher']",2013,['Action']
Basic,John McTiernan,"['John Travolta', 'Connie Nielsen', 'Samuel L. Jackson', 'Giovanni Ribisi', 'Tim Daly']",2003,['Action']
Blood Work,Clint Eastwood,"['Clint Eastwood', 'Jeff Daniels', 'Anjelica Huston', 'Wanda De Jesus', 'Tina Lifford']",2002,['Crime']
The International,Tom Tykwer,"['Clive Owen', 'Naomi Watts', 'Armin Mueller-Stahl', 'Ulrich Thomsen', ""Brían F. O'Byrne""]",2009,['Drama']
Escape from L.A.,John Carpenter,"['Kurt Russell', 'Stacy Keach', 'Steve Buscemi', 'Pam Grier', 'Cliff Robertson']",1996,['Action']
The Iron Giant,Brad Bird,"['Eli Marienthal', 'Jennifer Aniston', 'Vin Diesel', 'Christopher McDonald', 'Harry Connick Jr.']",1999,['Adventure']
The Life Aquatic with Steve Zissou,Wes Anderson,"['Bill Murray', 'Anjelica Huston', 'Cate Blanchett', 'Willem Dafoe', 'Owen Wilson']",2004,['Adventure']
Free State of Jones,Gary Ross,"['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali', 'Keri Russell', 'Jacob Lofland']",2016,['War']
The Life of David Gale,Alan Parker,"['Kevin Spacey', 'Kate Winslet', 'Laura Linney', 'Gabriel Mann', 'Rhona Mitra']",2003,['Drama']
Man of the House,Stephen Herek,"['Tommy Lee Jones', 'Cedric the Entertainer', 'Christina Milian', 'Paula Garcés', 'Monica Keena']",2005,['Comedy']
Run All Night,Jaume Collet-Serra,"['Liam Neeson', 'Ed Harris', 'Joel Kinnaman', 'Boyd Holbrook', 'Bruce McGill']",2015,['Action']
Eastern Promises,David Cronenberg,"['Naomi Watts', 'Viggo Mortensen', 'Vincent Cassel', 'Armin Mueller-Stahl', 'Sinéad Cusack']",2007,['Thriller']
Into the Blue,John Stockwell,"['Paul Walker', 'Jessica Alba', 'Scott Caan', 'Ashley Scott', 'Josh Brolin']",2005,['Action']
The Messenger: The Story of Joan of Arc,Luc Besson,"['Milla Jovovich', 'Dustin Hoffman', 'Faye Dunaway', 'John Malkovich', 'Vincent Cassel']",1999,['Adventure']
Your Highness,David Gordon Green,"['Danny McBride', 'James Franco', 'Natalie Portman', 'Zooey Deschanel', 'Justin Theroux']",2011,['Comedy']
Dream House,Jim Sheridan,"['Daniel Craig', 'Naomi Watts', 'Rachel Weisz', 'Marton Csokas', 'Elias Koteas']",2011,['Drama']
Mad City,Costa-Gavras,"['John Travolta', 'Dustin Hoffman', 'Mia Kirshner', 'Alan Alda', 'Robert Prosky']",1997,['Action']
Baby's Day Out,Patrick Read Johnson,"['Joe Mantegna', 'Lara Flynn Boyle', 'Joe Pantoliano', 'Brian Haley', 'Cynthia Nixon']",1994,['Action']
The Scarlet Letter,Roland Joffé,"['Demi Moore', 'Gary Oldman', 'Robert Duvall', 'Robert Prosky', 'Edward Hardwicke']",1995,['Drama']
Fair Game,Doug Liman,"['Naomi Watts', 'Sean Penn', 'Ty Burrell', 'Brooke Smith', 'Bruce McGill']",2010,['Drama']
Domino,Tony Scott,"['Keira Knightley', 'Mickey Rourke', 'Edgar Ramírez', 'Delroy Lindo', ""Mo'Nique""]",2005,['Action']
Jade,William Friedkin,"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri', 'Michael Biehn', 'Richard Crenna']",1995,['Action']
Gamer,Brian Taylor,"['Gerard Butler', 'Michael C. Hall', 'Logan Lerman', 'Amber Valletta', 'Terry Crews']",2009,['Action']
